Organisation Name,org_name_normalized,has_multiple_towns,has_multiple_counties,Town/City,County,Type & Rating,Route,raw_name_variants,match_status,match_error,best_candidate_score,best_candidate_title,best_candidate_company_number
A & D Stores Ravenshead Ltd T/A Nisa Ravenshead,a d stores ravenshead t a nisa ravenshead,False,False,Ravenshead,,Worker (A rating),Skilled Worker,A & D Stores Ravenshead Ltd T/A Nisa Ravenshead,unmatched,,0.6549,A & D STORES RAVENSHEAD LTD,11127800
A & F (Bolton Builders),a f bolton builders,False,False,Bolton,,Worker (A rating),Skilled Worker,A & F (Bolton Builders),unmatched,,0.6158,BOLTON BUILDERS LTD,09972472
A & F Foods Limited T/a Pizza Hut,a f foods t a pizza hut,False,False,Reading,,Worker (A rating),Skilled Worker,A & F Foods Limited T/a Pizza Hut,unmatched,,0.5865,A & F FOODS LTD,08676186
A & G Young,a g young,False,False,Errol,Perth,Worker (A rating),Skilled Worker,A & G Young,unmatched,,0.7056,J & A YOUNG GROUP LIMITED,06519820
A & H PIRIPIRI LIMITED,a h piripiri,False,False,WATFORD,,Worker (A rating),Skilled Worker,A & H PIRIPIRI LIMITED,unmatched,,0.5,TMS PIRIPIRI LTD,16968913
A & H Tilling Ltd,a h tilling,False,False,Oldham,,Worker (A rating),Skilled Worker,A & H Tilling Ltd,unmatched,,0.4973,V & D TILLING LTD,06393354
A & Heggarty,a heggarty,False,False,Ballymoney,Antrim,Worker (A rating),Skilled Worker,A & Heggarty,unmatched,,0.67,HEGGARTY CO LIMITED,NI652388
A & I Care Homes Ltd T/a The Meadows Residential Care Home,a i care homes t a the meadows residential care home,False,False,Greenford,Middlesex,Worker (A rating),Skilled Worker,A & I Care Homes Ltd T/a The Meadows Residential Care Home,unmatched,,0.5297,CHRIST THE KING RESIDENTIAL CARE HOMES LIMITED,05591631
A & J PROFESSIONALS LTD (T/A ZEST DRYCLEANERS),a j professionals t a zest drycleaners,False,False,MARLOW,,Worker (A rating),Skilled Worker,A & J PROFESSIONALS LTD (T/A ZEST DRYCLEANERS),unmatched,,0.5289,A & J PROFESSIONALS LTD,14487277
A & M Global Enterprises Ltd T/A Liverpool Souvenirs,a m global enterprises t a liverpool souvenirs,False,False,Liverpool,,Worker (A rating),Skilled Worker,A & M Global Enterprises Ltd T/A Liverpool Souvenirs,unmatched,,0.5842,A & M GLOBAL ENTERPRISES LIMITED,14550551
A & S HAMPTON LTD T/A Premier,a s hampton t a premier,False,False,Peterborough,,Worker (A rating),Skilled Worker,A & S HAMPTON LTD T/A Premier,unmatched,,0.6813,A & S HAMPTON LTD,11487193
A & T K9 SERVICES LIMITED,a t k9 services,False,False,Ilford,Essex,Worker (A rating),Skilled Worker,A & T K9 SERVICES LIMITED,unmatched,,0.4808,ALPHA SECURITY & K9 SERVICES LIMITED,16688592
A & Z Trading Limited T/A Kaspas Desserts,a z trading t a kaspas desserts,False,False,London,,Worker (A rating),Skilled Worker,A & Z Trading Limited T/A Kaspas Desserts,unmatched,,0.6002,A TO Z TRADING & SERVICES LTD,08904521
A + I Services,a i services,False,False,Portadown,,Worker (A rating),Skilled Worker,A + I Services,unmatched,,0.4333,ERNIE ELLIS E + I SERVICES LTD,12239285
A . UNIKEBAB LIMITED T/A UNI KEBAB & PIZZA,a unikebab t a uni kebab pizza,False,False,Cheshire,,Worker (A rating),Skilled Worker,A . UNIKEBAB LIMITED T/A UNI KEBAB & PIZZA,unmatched,,0.4838,HULL UNI KEBAB & PIZZA UK LIMITED,10213882
A A R CARS LIMITED,a a r cars,False,False,Croydon,,Worker (A rating),Skilled Worker,A A R CARS LIMITED,unmatched,,0.6357,A A RADIO CARS LIMITED,03851732
A A Rahman t/a Visage Dental Laboratory,a a rahman t a visage dental laboratory,False,False,Glasgow,,Worker (A rating),Skilled Worker,A A Rahman t/a Visage Dental Laboratory,unmatched,,0.5123,A & J DENTAL LABORATORY LTD,07747441
A AND A SUPERSTORES t/a Premier,a and a superstores t a premier,False,False,King's Lynn,Norfolk,Worker (A rating),Skilled Worker,A AND A SUPERSTORES t/a Premier,unmatched,,0.4875,PAMIR SUPERSTORES AND HALAL MEAT LIMITED,07575728
A Auto Electrican,a auto electrican,False,False,High Wycombe,Buckinghamshire,Worker (A rating),Skilled Worker,A Auto Electrican,unmatched,,0.6579,KAH AUTO ELECTRICAN LIMITED,09754054
A B BEDS (YORKSHIRE) LTD TA CARTER & LEWIS,a b beds yorkshire ta carter lewis,False,False,Liversedge,,Worker (A rating),Skilled Worker,A B BEDS (YORKSHIRE) LTD TA CARTER & LEWIS,unmatched,,0.3926,CARTER & LEWIS LTD,09738830
A B C Cargo & Courier UK Limited,a b c cargo courier,False,False,England,,Worker (A rating),Skilled Worker,A B C Cargo & Courier UK Limited,unmatched,,0.6079,ABC CARGO & COURIER UK LIMITED,14852569
A F ENERGY SERVICES LIMITED,a f energy services,False,False,"Aylesford,",,Worker (A rating),Skilled Worker,A F ENERGY SERVICES LIMITED,unmatched,,0.6454,A F ENERGY AND CONTRUCTION LIMITED,13458092
A F Foods LTD,a f foods,False,False,Bradford,,Worker (A rating),Skilled Worker,A F Foods LTD,unmatched,,0.6356,AF FOODS LIMITED,08313278
A G & E S Ltd,a g e s,False,False,London,,Worker (A rating),Skilled Worker,A G & E S Ltd,unmatched,,0.3667,A & G ENGINEERING SERVICES LIMITED,05869408
A H PODD BUSINESS SERVICES LIMITED,a h podd business services,False,False,"Suffolk,",,Worker (A rating),Skilled Worker,A H PODD BUSINESS SERVICES LIMITED,unmatched,,0.6192,AHPODD BUSINESS SERVICES LIMITED,04657947
A Hussain Growers,a hussain growers,False,False,Sandy,,Worker (A rating),Skilled Worker,A Hussain Growers,unmatched,,0.6088,A&S GROWERS,11871372
A J Caterers UK Limited,a j caterers,False,False,Blandford Forum,,Worker (A rating),Skilled Worker,A J Caterers UK Limited,unmatched,,0.5667,AJ CATERERS UK LIMITED,03178729
A J Food Stores Ltd T/A Budgens,a j food stores t a budgens,False,False,Erith,,Worker (A rating),Skilled Worker,A J Food Stores Ltd T/A Budgens,unmatched,,0.6722,A J FOOD STORES LIMITED,10658926
A J Mini Market Ltd TA Baskerville Stores,a j mini market ta baskerville stores,False,False,Kidderminster,,Worker (A rating),Skilled Worker,A J Mini Market Ltd TA Baskerville Stores,unmatched,,0.4912,HANDY STORES MINI MARKET LTD,08399294
A J Mobile & Vape Limited,a j mobile vape,False,False,Harrow Wealdstone,,Worker (A rating),Skilled Worker,A J Mobile & Vape Limited,unmatched,,0.6367,AK MOBILE & VAPE LTD,10948592
A J Sands Ltd T/A Sands Consultants,a j sands t a sands consultants,False,False,Exeter,Devon,Worker (A rating),Skilled Worker,A J Sands Ltd T/A Sands Consultants,unmatched,,0.6561,A.J. SANDS LIMITED,02608316
A K Green Ltd,a k green,False,False,Cheadle,,Worker (A rating),Skilled Worker,A K Green Ltd,unmatched,,0.5556,AK GREEN LTD,12661985
A K PLASTIC MATERIAL,a k plastic material,False,False,HAYES,MIDDLESEX,Worker (A rating),Skilled Worker,A K PLASTIC MATERIAL,unmatched,,0.413,BRIAR PLASTIC MATERIALS LTD,13317832
A K Stoddard Ltd,a k stoddard,False,False,Broxburn,,Worker (A rating),Skilled Worker,A K Stoddard Ltd,unmatched,,0.5167,STODDARD GROUP LIMITED,SC031147
A K Supported Housing Ltd,a k supported housing,False,False,Grays,Essex,Worker (A rating),Skilled Worker,A K Supported Housing Ltd,unmatched,,0.6978,I K P HOUSING SUPPORTED LIMITED,16826602
A LAKHANI STORE,a lakhani store,False,False,Bradford,,Worker (A rating),Skilled Worker,A LAKHANI STORE,unmatched,,0.4389,LAKHANI & ASSOCIATES LTD,11580036
A M Jamieson & Daughters,a m jamieson daughters,False,False,Girvan,Ayrshire,Worker (A rating),Skilled Worker,A M Jamieson & Daughters,unmatched,,0.7009,M A GREEN & DAUGHTERS LTD,16032679
A Majeed Car paint,a majeed car paint,False,False,London,Tottenham,Worker (A rating),Skilled Worker,A Majeed Car paint,unmatched,,0.4826,AL MAJEED SOLUTIONS LTD,16934618
A N Plumbing & Electrical,a n plumbing electrical,False,False,LUTON,Bedfordshire,Worker (A rating),Skilled Worker,A N Plumbing & Electrical,unmatched,,0.6552,NJ PLUMBING & ELECTRICAL LTD,14251461
A N S STORES LTD T/A KINSBURY SUPER STORE,a n s stores t a kinsbury super store,False,False,Aylesbury,,Worker (A rating),Skilled Worker,A N S STORES LTD T/A KINSBURY SUPER STORE,unmatched,,0.5597,A N S STORES LTD,14079759
A Patel T/A Mail Boxes Etc Croydon,a patel t a mail boxes etc croydon,False,False,London,,Worker (A rating),Skilled Worker,A Patel T/A Mail Boxes Etc Croydon,unmatched,,0.5903,MAIL BOXES ETC LONDON LTD,11959179
"A R JUNOON LIMITED, T/A, THALI RESTAURANT",a r junoon t a thali restaurant,False,False,BRISTOL,,Worker (A rating),Skilled Worker,"A R JUNOON LIMITED, T/A, THALI RESTAURANT",unmatched,,0.6396,SA T/A JUNOON RESTAURANT LTD,14216228
A Squared Eats Ltd t/a Gupshup,a squared eats t a gupshup,False,False,Hale,Cheshire,Worker (A rating),Skilled Worker,A Squared Eats Ltd t/a Gupshup,unmatched,,0.6254,A SQUARED EATS LTD,11090602
A T M STEEL LTD,a t m steel,False,False,Suffolk,HAVERHILL,Worker (A rating),Skilled Worker,A T M STEEL LTD,unmatched,,0.5773,ATM STEEL LIMITED,11638453
A Y & J Solicitors,a y j solicitors,False,False,London,,Worker (A rating),Skilled Worker,A Y & J Solicitors,unmatched,,0.4962,ARTHUR J DOWNEY & CO SOLICITORS LTD,NI691903
A and A Ali,a and a ali,False,False,Newcastle Upon Tyne,,Worker (A rating),Skilled Worker,A and A Ali,unmatched,,0.4995,AHMAD ALI AND CO TRADING LTD,13599475
A and D Hendon Ltd t/a Oishii Sushi,a and d hendon t a oishii sushi,False,False,Hendon,,Worker (A rating),Skilled Worker,A and D Hendon Ltd t/a Oishii Sushi,unmatched,,0.5735,A AND D HENDON LTD,11245004
A and N UK Trading Ltd,a and n trading,False,False,Daventry,,Worker (A rating),Skilled Worker,A and N UK Trading Ltd,unmatched,,0.5109,AB SOURCING AND TRADING UK LTD,15801151
A and O Sub Limited,a and o sub,False,False,Worcester,Worcestershire,Worker (A rating),Skilled Worker,A and O Sub Limited,unmatched,,0.2713,ASSOCIATED SUB-CONTRACTORS AND CONSTANTIN OLARU LP,LP015290
A and U Electrical Services,a and u electrical services,False,False,Rochdale,,Worker (A rating),Skilled Worker,A and U Electrical Services,unmatched,,0.6409,ELECTRICAL LOGISTICS AND SERVICES (UK) LIMITED,10183988
A to Z Accessories,a to z accessories,False,False,Leeds,,Worker (A rating),Skilled Worker,A to Z Accessories,unmatched,,0.5944,A TO Z CAR PARTS LTD,10245160
A&1 LTD T/A German Doner Kebab,a 1 t a german doner kebab,False,False,HOUNSLOW,,Worker (A rating),Skilled Worker,A&1 LTD T/A German Doner Kebab,unmatched,,0.5995,GERMAN DONER KEBAB & GRILL LTD,13105772
A&D News,a d news,False,False,London,,Worker (A rating),Skilled Worker,A&D News,unmatched,,0.5633,A&D ACCOUNTANCY LTD,15588846
A&H Pizza UK LTD T/A Dominos Pizza,a h pizza t a dominos pizza,False,False,London,,Worker (A rating),Skilled Worker,A&H Pizza UK LTD T/A Dominos Pizza,unmatched,,0.6233,A & H PIZZA UK LTD,05690664
A&I FAST FOOD LIMITED t/a Four in One,a i fast food t a four in one,False,False,Bathgate,,Worker (A rating),Skilled Worker,A&I FAST FOOD LIMITED t/a Four in One,unmatched,,0.6647,FOUR IN ONE FAST FOOD LTD,SC375872
A&N Foody Ltd T/A Kings Transportation,a n foody t a kings transportation,False,False,Slough,Berkshire,Worker (A rating),Skilled Worker,A&N Foody Ltd T/A Kings Transportation,unmatched,,0.5044,KINGSOAKS TECHNOLOGY AND TRANSPORTATION LIMITED,13350758
A&N MOBILE LIMITED T/A FONESOLUTIONS,a n mobile t a fonesolutions,False,False,MERTHYR,WALES,Worker (A rating),Skilled Worker,A&N MOBILE LIMITED T/A FONESOLUTIONS,unmatched,,0.5529,A&N MOBILE LTD,13500902
A&O RANA T/A A&O LICENCED GROCERS,a o rana t a a o licenced grocers,False,False,FALKIRK,,Worker (A rating),Skilled Worker,A&O RANA T/A A&O LICENCED GROCERS,unmatched,,0.527,A&O RANA LTD,SC875167
A&S CORPORATION LIMITED T/A SUBWAY,a s t a subway,False,False,SUFFOLK,,Worker (A rating),Skilled Worker,A&S CORPORATION LIMITED T/A SUBWAY,unmatched,,0.53,A&S ACCOUNTANTS LTD,15154655
A&S R Limited t/as Pepe's Piri Piri,a s r t as pepe s piri piri,False,False,Kilmarnock,,Worker (A rating),Skilled Worker,A&S R Limited t/as Pepe's Piri Piri,unmatched,,0.3769,PIRI-PIRI RESTAURANTS LIMITED,03418962
A&S UK PRIVATE LTD TA Royal Halal Meat,a s private ta royal halal meat,False,False,Watford,,Worker (A rating),Skilled Worker,A&S UK PRIVATE LTD TA Royal Halal Meat,unmatched,,0.5694,A&S HALAL MEAT SHOP LTD,16026122
A&SH LIMITED T/A Spice House,a sh t a spice house,False,False,Buckie,Scotland,Worker (A rating),Skilled Worker,A&SH LIMITED T/A Spice House,unmatched,,0.51,SPICE HOUSE BARKING LTD,14162668
"A,N,G EXPORT AND IMPORT LTD",a n g export and import,False,False,COVENTRY,,Worker (A rating),Skilled Worker,"A,N,G EXPORT AND IMPORT LTD",unmatched,,0.6376,AA IMPORT AND EXPORT LTD,14475428
A-Gas&Electrical ServicesLtd,a gas electrical servicesltd,False,False,Halesowen,,Worker (A rating),Skilled Worker,A-Gas&Electrical ServicesLtd,unmatched,,0.4143,GL MECHANICAL SERVICESLTD LTD,14601143
A-Side DesignLimited,a side designlimited,False,False,Redruth,Cornwall,Worker (A rating),Skilled Worker,A-Side DesignLimited,unmatched,,0.2011,THE SPACE* STUDIO (*ARCHITECTURE & INTERIOR DESIGN) LIMITED,04530150
A-T Hair Nail & Beauty Limited Liability Partnership,a t hair nail beauty,False,False,Ashford,Kent,Worker (A rating),Skilled Worker,A-T Hair Nail & Beauty Limited Liability Partnership,unmatched,,0.69,ELK NAIL HAIR & BEAUTY LTD,12189477
A-Z MOBILE LTD T/A Fone Revive,a z mobile t a fone revive,False,False,Neath,,Worker (A rating),Skilled Worker,A-Z MOBILE LTD T/A Fone Revive,unmatched,,0.5838,A-Z MOBILE LTD,11015175
A-ZFabrication ltd,a zfabrication,False,False,Bexleyheath,,Worker (A rating),Skilled Worker,A-ZFabrication ltd,unmatched,,0.6533,A-Z FABRICATION LTD,14654798
A-Zero Architects,a zero architects,False,False,London,London,Worker (A rating),Skilled Worker,A-Zero Architects,unmatched,,0.7189,A AND A ARCHITECTS LLP,OC326408
A. Dakri and Co Limited trading as Greenleafe Hotel,a dakri and trading as greenleafe hotel,False,False,London,,Worker (A rating),Skilled Worker,A. Dakri and Co Limited trading as Greenleafe Hotel,unmatched,,0.5103,K&S LIMITED TRADING AS POST AND PACKAGING LTD,11945943
A. K. FOODS (CAMBRIDGE) LTD TA IQBRO WHOLESALE,a k foods cambridge ta iqbro wholesale,False,False,HARSTON,,Worker (A rating),Skilled Worker,A. K. FOODS (CAMBRIDGE) LTD TA IQBRO WHOLESALE,unmatched,,0.3832,INTERCONTINENTAL FOODS (UK) LTD. T/A DONYA FOODS,BR019904
A. Lewis & Sons Limited T/A Lewis's Bakery,a lewis sons t a lewis s bakery,False,False,Birmingham,,Worker (A rating),Skilled Worker,A. Lewis & Sons Limited T/A Lewis's Bakery,unmatched,,0.5348,A. LEWIS & SONS LIMITED,00456335
A.E Pharma LTD T/A Matlock pharmacy,a e pharma t a matlock pharmacy,False,False,Brighton,,Worker (A rating),Skilled Worker,A.E Pharma LTD T/A Matlock pharmacy,unmatched,,0.4971,ALISON'S TRAVEL T/A MATLOCK TRAVEL LIMITED,14361838
A.G. Barr PLC,a g barr,False,False,Cumbernauld,,Worker (A rating),Skilled Worker,A.G. Barr PLC,unmatched,,0.6586,A.G. BARR P.L.C.,SC005653
A.G.E. & CO. COMPANY LIMITED T/A THE RUG,a g e t a the rug,False,False,London,,Worker (A rating),Skilled Worker,A.G.E. & CO. COMPANY LIMITED T/A THE RUG,unmatched,,0.5476,A.G.E. & CO. COMPANY LIMITED,13599140
A.Hak Pipelines & Facilities UK Limited,a hak pipelines facilities,False,False,Huddersfield,West Yorkshire,Worker (A rating),Skilled Worker,A.Hak Pipelines & Facilities UK Limited,unmatched,,0.6131,40G PIPELINES & FACILITIES LIMITED,09823565
A.K Medical Consultancy Ltd. T/A Cockerton Pharmacy,a k medical consultancy t a cockerton pharmacy,False,False,Darlington,Tyne And Wear,Worker (A rating),Skilled Worker,A.K Medical Consultancy Ltd. T/A Cockerton Pharmacy,unmatched,,0.6729,A.K MEDICAL CONSULTANCY LTD,07716199
A.L.S Hotels Limited t/a King Solomon Hotel,a l s hotels t a king solomon hotel,False,False,London,,Worker (A rating),Skilled Worker,A.L.S Hotels Limited t/a King Solomon Hotel,unmatched,,0.5671,A.L.S. HOTELS LIMITED,07600386
A.M.Corner Shop Ltd T/A The Corner Shop - Premier,a m corner shop t a the corner shop premier,False,False,Plymouth,,Worker (A rating),Skilled Worker,A.M.Corner Shop Ltd T/A The Corner Shop - Premier,unmatched,,0.6124,A.M.CORNER SHOP LTD,11358973
A.N.P BLACKHORSE NEWS & WINE,a n p blackhorse news wine,False,False,COVENTRY,,Worker (A rating),Skilled Worker,A.N.P BLACKHORSE NEWS & WINE,unmatched,,0.4676,ALISHBA NEWS & WINE LIMITED,09645060
A.Poortman (London) Limited Trading AGT Poortman,a poortman london trading agt poortman,False,False,London,,Worker (A rating),Skilled Worker,A.Poortman (London) Limited Trading AGT Poortman,unmatched,,0.6689,A. POORTMAN (LONDON) LIMITED,00485890
A.Q. SKIN SOLUTIONS LIMITED,a q skin solutions,False,False,BURNHAM,,Worker (A rating),Skilled Worker,A.Q. SKIN SOLUTIONS LIMITED,unmatched,,0.6678,AQ SKIN SOLUTIONS LIMITED,10645631
A.R Racking SA t/a AR Storage Solutions UK,a r racking sa t a ar storage solutions,False,False,Slough,,Worker (A rating),Skilled Worker,A.R Racking SA t/a AR Storage Solutions UK,unmatched,,0.5172,RACKING AND STORAGE SOLUTIONS NE LTD,05865249
A.R.T.I. SERVICES LTD T/A Manor Farm Residential Home,a r t i services t a manor farm residential home,False,False,Bath,Somerset,Worker (A rating),Skilled Worker,A.R.T.I. SERVICES LTD T/A Manor Farm Residential Home,unmatched,,0.5303,FARLEIGH COMBE MANOR RESIDENTIAL HOME LIMITED,01824144
A.T.S.UK PRIVATE LIMITED t/as Eden Off Licence,a t s private t as eden off licence,False,False,Rotherham,,Worker (A rating),Skilled Worker,A.T.S.UK PRIVATE LIMITED t/as Eden Off Licence,unmatched,,0.3717,GIC CAPITAL INVESTMENTS PRIVATE LIMITED - LONDON OFFICE,FC040141
A.V. ATKINSON (FOURWAYS) LTD.,a v atkinson fourways,False,False,Sandhurst,Berkshire,Worker (A rating),Skilled Worker,A.V. ATKINSON (FOURWAYS) LTD.,unmatched,,0.6786,A.V. ATKINSON LIMITED,05263733
A.Williams & Co. (Solicitors),a williams solicitors,False,False,LONDON,london,Worker (A rating),Skilled Worker,A.Williams & Co. (Solicitors),unmatched,,0.6167,A.WILLIAMS & CO.(CHELTENHAM)LIMITED,00542190
A1 Care Services Ty Ceirios Nursing Home,a1 care services ty ceirios nursing home,False,False,Pontypool,Torfaen,Worker (A rating),Skilled Worker,A1 Care Services Ty Ceirios Nursing Home,unmatched,,0.6029,A1 HOME CARE SERVICES LTD,13733752
A1 Executive Travel Group LTD T/A A1 Executive Cars,a1 executive travel t a a1 executive cars,False,False,Watford,,Worker (A rating),Skilled Worker,A1 Executive Travel Group LTD T/A A1 Executive Cars,unmatched,,0.6154,A1 EXECUTIVE TRAVEL GROUP LTD,10392691
A1 RESTAURANT LTD T/A TASTE OF CHENNAI,a1 restaurant t a taste of chennai,False,False,Glasgow,Scotland,Worker (A rating),Skilled Worker,A1 RESTAURANT LTD T/A TASTE OF CHENNAI,unmatched,,0.5574,TASTE OF AFRICA RESTAURANT LIMITED,16547375
A1 Value Add Ltd. T/As Pepe's Piri Piri,a1 value add t as pepe s piri piri,False,False,Tunbridge Wells,,Worker (A rating),Skilled Worker,A1 Value Add Ltd. T/As Pepe's Piri Piri,unmatched,,0.4162,A1 VALUE ADD LIMITED,12330306
A12 PJ Limited T/A Papa Johns,a12 pj t a papa johns,False,False,Nottingham,,Worker (A rating),Skilled Worker,A12 PJ Limited T/A Papa Johns,unmatched,,0.469,JAS PAPA JOHNS LIMITED,08288851
A1209 LTD T/A QUEDGELEY TANDOORI TAKEAWAY,a1209 t a quedgeley tandoori takeaway,False,False,QUEDGELEY,GLOUCESTERSHIRE,Worker (A rating),Skilled Worker,A1209 LTD T/A QUEDGELEY TANDOORI TAKEAWAY,unmatched,,0.4486,BROCKWELL TANDOORI INDIAN TAKEAWAY LTD,15282810
A2B Aero Ltd,a2b aero,False,False,Shoreham By Sea,,Worker (A rating),Skilled Worker,A2B Aero Ltd,unmatched,,0.4,A2BAERO LTD,07177093
A2Z Autoworks Ltd t/a Slough Car Garage,a2z autoworks t a slough car garage,False,False,Slough,,Worker (A rating),Skilled Worker,A2Z Autoworks Ltd t/a Slough Car Garage,unmatched,,0.4805,AUTO CAR WASH SLOUGH LTD,14717829
A2Z Bathrooms & Tiles Limited,a2z bathrooms tiles,False,False,Huddersfield,West Yorkshire,Worker (A rating),Skilled Worker,A2Z Bathrooms & Tiles Limited,unmatched,,0.7079,AJ BATHROOMS & TILES LTD,12087305
A2Z Communication Ltd,a2z communication,False,False,Wigan,,Worker (A rating),Skilled Worker,A2Z Communication Ltd,unmatched,,0.6833,A2Z COMMUNICATION LONDON LTD,08039332
A2Z Turkish Ltd T/A Chaye Khana,a2z turkish t a chaye khana,False,False,Coventry,,Worker (A rating),Skilled Worker,A2Z Turkish Ltd T/A Chaye Khana,unmatched,,0.493,CHAYE KHANA LTD,14267182
A3 HIRE CLUB LTD T/A CONSORT HOTEL,a3 hire club t a consort hotel,False,False,ROTHERHAM,SOUTH YORKSHIRE,Worker (A rating),Skilled Worker,A3 HIRE CLUB LTD T/A CONSORT HOTEL,unmatched,,0.5471,A3 HIRE CLUB LTD,12404549
A360 LTD with trading name A360 group healthcare,a360 with trading name a360 healthcare,False,False,Portsmouth,Hampshire,Worker (A rating),Skilled Worker,A360 LTD with trading name A360 group healthcare,unmatched,,0.2921,A360 LTD,11483448
A4 Holidays T/A Colliford Tavern and Holiday Site,a4 holidays t a colliford tavern and holiday site,False,False,Liskeard,Cornwall,Worker (A rating),Skilled Worker,A4 Holidays T/A Colliford Tavern and Holiday Site,unmatched,,0.3688,A & T HOLIDAY SITES LTD,16047927
A4 RETAIL LIMITED T/A Braes Of Kirriemuir,a4 retail t a braes of kirriemuir,False,False,Kirriemuir,,Worker (A rating),Skilled Worker,A4 RETAIL LIMITED T/A Braes Of Kirriemuir,unmatched,,0.4203,KIRRIEMUIR GOLF CLUB LIMITED (THE),SC006873
A4 Trading Limited T/A Flora Indica,a4 trading t a flora indica,False,False,London,,Worker (A rating),Skilled Worker,A4 Trading Limited T/A Flora Indica,unmatched,,0.3981,A4 TRADING LIMITED,07162076
A5 NG1 Ltd T/A Papa Johns Pizza,a5 ng1 t a papa johns pizza,False,False,Coventry,,Worker (A rating),Skilled Worker,A5 NG1 Ltd T/A Papa Johns Pizza,unmatched,,0.5713,PAPA JOHNS PIZZA (SANDHURST) LIMITED,07784377
A9 Kerala Food Ltd T/AS Travancore Restaurant,a9 kerala food t as travancore restaurant,False,False,Aberdeen,Scotland,Worker (A rating),Skilled Worker,A9 Kerala Food Ltd T/AS Travancore Restaurant,unmatched,,0.5237,A9 KERALA FOOD LTD,SC668021
AA & EVA LIMITED,aa eva,False,False,LONDON,,Worker (A rating),Skilled Worker,AA & EVA LIMITED,unmatched,,0.6729,A A & EVA LIMITED,07723236
AA Catering Services Ltd t/a Stirchley Curry Co,aa catering services t a stirchley curry,False,False,Telford,,Worker (A rating),Skilled Worker,AA Catering Services Ltd t/a Stirchley Curry Co,unmatched,,0.5371,AA CATERING SERVICES LTD,13733760
AA EDINBURGH FOOD LIMITED TA Shapla Takeaway,aa edinburgh food ta shapla takeaway,False,False,Edinburgh,,Worker (A rating),Skilled Worker,AA EDINBURGH FOOD LIMITED TA Shapla Takeaway,unmatched,,0.4778,AA TAKEAWAY FOOD LTD,11173808
AA FOODIES LTD T/A SUBWAY,aa foodies t a subway,False,False,Stevenage,Hertfordshire,Worker (A rating),Skilled Worker,AA FOODIES LTD T/A SUBWAY,unmatched,,0.5605,AA FOODIES LTD,11819543
AA Grewal and Aggarwal Solicitors,aa grewal and aggarwal solicitors,False,False,LEICESTER,Leicester,Worker (A rating),Skilled Worker,AA Grewal and Aggarwal Solicitors,unmatched,,0.6209,GREWAL & AGGARWAL ASSOCIATES LIMITED,11256524
AA KITCHEN KENT LTD T/a Hot and Herbs,aa kitchen kent t a hot and herbs,False,False,Sittingbourne,,Worker (A rating),Skilled Worker,AA KITCHEN KENT LTD T/a Hot and Herbs,unmatched,,0.5368,AA KITCHEN KENT LTD,12982110
AA Kaya Ltd,aa kaya,False,False,Market harborough,United Kingdom,Worker (A rating),Skilled Worker,AA Kaya Ltd,unmatched,,0.68,A A KAYA LTD,10039668
AA LATE SHOP LIMITED T/A PTS LATE SHOP,aa late shop t a pts late shop,False,False,Swansea,,Worker (A rating),Skilled Worker,AA LATE SHOP LIMITED T/A PTS LATE SHOP,unmatched,,0.6033,A A LATE SHOP LIMITED,08809073
AA MINIBUS TRAVELS LTD T/A BRIT COACHES,aa minibus travels t a brit coaches,False,False,"Hagley, Stourbridge",,Worker (A rating),Skilled Worker,AA MINIBUS TRAVELS LTD T/A BRIT COACHES,unmatched,,0.5129,AA MINIBUS TRAVELS LTD,09301183
AA PHONE FIX LTD t/a AA Phone Fix,aa phone fix t a aa phone fix,False,False,Musselburgh,,Worker (A rating),Skilled Worker,AA PHONE FIX LTD t/a AA Phone Fix,unmatched,,0.6555,AA PHONE FIX LTD,SC746456
AA SAFFRON LOUNGE LTD T/A SAFFRON LOUNGE,aa saffron lounge t a saffron lounge,False,False,Essex,,Worker (A rating),Skilled Worker,AA SAFFRON LOUNGE LTD T/A SAFFRON LOUNGE,unmatched,,0.5989,AA SAFFRON LOUNGE LTD,15361423
AA SPICE LTD T/A HOUSE OF SPICE,aa spice t a house of spice,False,False,Isle Of Wight,,Worker (A rating),Skilled Worker,AA SPICE LTD T/A HOUSE OF SPICE,unmatched,,0.5713,HOUSE OF SPICE (MILL STREET) LIMITED,05568395
AA United Ltd T/A Costcutter and Londis,aa united t a costcutter and londis,False,False,"West Malling,",,Worker (A rating),Skilled Worker,AA United Ltd T/A Costcutter and Londis,unmatched,,0.4858,UNITED HEALTH AND EDUCATIONAL SERVICES LTD.,14676246
AA&J PROPERTY LIMITED,aa j property,False,False,ILFORD,,Worker (A rating),Skilled Worker,AA&J PROPERTY LIMITED,unmatched,,0.5382,AA&J CONSTRUCTION LTD,14165476
AAA Brothers Ltd  T/A Premier,aaa brothers t a premier,False,False,Milton Keynes,,Worker (A rating),Skilled Worker,AAA Brothers Ltd  T/A Premier,unmatched,,0.57,AAA BROTHERS LIMITED,09305090
AAA EAGLES LTD,aaa eagles,False,False,STOCKPORT,,Worker (A rating),Skilled Worker,AAA EAGLES LTD,unmatched,,0.5333,A A A EAGLES LTD,12685329
